Temperature,Stripe Change Count
30.9305,1
31.0338,2
31.2017,3
31.3014,4
31.3225,5
31.4034,6
31.4058,7
31.6023,8
31.7096,9
31.8044,10
31.8164,11
31.9035,12
31.9142,13
32.1138,14
32.4154,15
32.5098,16
32.6085,17
32.8091,18
33.0023,19
33.2027,20
33.3078,21
33.3088,22
33.3097,23
33.4038,24
33.4097,25
33.4106,26
33.4126,27
34.2049,28
34.2068,29
34.3024,30
34.4052,31
34.4061,32
34.4076,33
34.5006,34
34.5016,35
34.5022,36
34.5042,37
34.505,38
34.5068,39
34.5077,40
34.6018,41
34.8018,42
35.3,43
35.8051,44
35.812,45
35.9048,46
35.9059,47
36.1011,48
36.1071,49
36.108,50
36.1082,51
36.2027,52
36.2042,53
36.2045,54
36.2104,55
36.3095,56
36.4063,57
36.5004,58
36.5012,59
37.0024,60
37.2141,61
37.2159,62
37.3052,63
37.402,64
37.5004,65
37.6036,66
37.7102,67
37.9124,68
37.9134,69
37.9152,70
38.0004,71
38.0041,72
38.0047,73
38.0056,74
38.0065,75
38.1036,76
38.9112,77
39.0084,78
39.2135,79
39.4044,80
39.7174,81
39.9057,82
40.1032,83
40.2179,84
40.5156,85
40.7141,86
41.1043,87
41.2227,88
41.6186,89
42.3122,90
42.5145,91
42.8027,92
42.807,93
42.8238,94
42.9004,95
42.9111,96
42.9126,97
42.914,98
42.9156,99
42.9169,100
42.9185,101
42.9198,102
42.9211,103
42.9241,104
42.9251,105
42.9255,106
42.9269,107
43.011,108
43.0126,109
43.014,110
43.0217,111
43.1235,112
43.1251,113
43.1281,114
43.1295,115
43.1342,116
43.2074,117
43.2105,118
43.2137,119
43.2198,120
43.2229,121
43.2244,122
43.3122,123
43.3325,124
43.4206,125
43.4252,126
43.5027,127
43.6169,128
43.6184,129
43.626,130
43.7104,131
43.7151,132
43.8206,133
43.8237,134
43.8315,135
44.0024,136
44.0055,137
44.0056,138
44.0062,139
44.0066,140
44.008,141
44.0095,142
44.0219,143
44.3256,144
44.4026,145
44.4143,146
44.4469,147
44.4546,148
44.6056,149
44.6071,150
44.6085,151
44.7233,152
44.7452,153
44.9279,154
44.929,155
44.934,156
44.9416,157
44.9509,158
45.013,159
45.015,160
45.016,161
45.0221,162
45.0314,163
45.0323,164
45.0477,165
45.0493,166
45.1021,167
45.1409,168
45.1423,169
45.1438,170
45.1533,171
45.1538,172
45.2005,173
45.2099,174
45.2114,175
45.2129,176
45.2142,177
45.4448,178
45.4461,179
45.612,180
45.6135,181
45.615,182
45.616,183
45.6284,184
45.6299,185
45.6314,186
45.6329,187
45.6342,188
45.6446,189
45.6451,190
45.6461,191
45.6476,192
45.649,193
45.6505,194
45.6535,195
45.6598,196
45.6614,197
45.666,198
45.6664,199
45.6674,200
45.7016,201
45.703,202
45.7182,203
45.7244,204
45.7263,205
45.7304,206
45.7601,207
45.7616,208
45.7627,209
45.8076,210
45.8106,211
45.8291,212
45.9071,213
45.9118,214
45.9351,215
45.9383,216
45.9397,217
45.9398,218
45.944,219
46.0039,220
46.0319,221
46.0397,222
46.0427,223
46.0441,224
46.0459,225
46.0472,226
46.0517,227
46.0594,228
46.0766,229
46.0781,230
46.1,231
46.1312,232
46.1452,233
46.1467,234
46.1544,235
46.1592,236
46.1633,237
46.1639,238
46.1649,239
46.1815,240
46.2334,241
46.241,242
46.2504,243
46.4081,244
46.4314,245
46.4328,246
46.4355,247
46.437,248
46.4525,249
46.4539,250
46.4554,251
46.4633,252
46.4634,253
46.4642,254
46.4643,255
46.4658,256
46.486,257
46.4892,258
46.4921,259
46.5062,260
46.5165,261
46.5217,262
46.5916,263
46.5931,264
46.6009,265
46.6038,266
46.6057,267
46.6275,268
46.6336,269
46.6367,270
46.6444,271
46.6663,272
46.6803,273
46.6846,274
46.6849,275
46.6863,276
46.6911,277
46.7079,278
46.7173,279
46.7235,280
46.7295,281
46.7326,282
46.7559,283
46.759,284
46.7652,285
46.7668,286
46.773,287
46.7822,288
46.7977,289
46.7992,290
46.8069,291
46.8098,292
46.8253,293
46.8317,294
46.8363,295
46.8395,296
46.8409,297
46.8563,298
46.8968,299
46.8998,300
46.9013,301
46.9072,302
46.9076,303
46.9134,304
46.902,305
46.9037,306
46.9078,307
46.9097,308
46.9189,309
46.9223,310
46.9247,311
46.9261,312
46.9277,313
46.929,314
46.932,315
46.9367,316
46.9385,317
46.9428,318
46.949,319
46.9521,320
46.9586,321
46.9672,322
46.9796,323
46.886,324
46.8751,325
46.9643,326
46.9519,327
46.9461,328
46.9243,329
46.8957,330
46.8948,331
46.8933,332
